359	-0.01482328;-0.02274798;-0.02756357;0.00133505;-0.00286058;0.00271302;-0.00209595;0.00201324;-0.0001408;-0.00340348;-0.00346804;0.00138512;-0.00062528;0.00610103;-0.01094206;-0.00066972;-0.00241703;-0.00318658;-0.00592719;-0.000241;-0.00349622;-0.00222299;0.00548307;0.00901124;-0.00935409
113	0.03810286;0.00778723;-0.00219908;0.00787319;-0.00670683;0.00399051;-0.01177119;-0.00866641;-0.00373141;-0.02099234;-0.02363386;0.00229669;-0.00832519;0.01882888;-0.02633669;-0.02395702;0.00358648;-0.03645624;-0.03172721;-0.00275163;0.01030974;-0.03129727;-0.01108146;0.076354;-0.04714965
162	-6.53496064e-02;1.46315365e-03;-6.37847036e-02;-8.70300304e-02;-1.08277131e-03;2.20360689e-03;-1.26746478e-03;3.59707298e-03;-4.14105287e-04;1.59012696e-03;3.13586762e-04;5.42120327e-04;1.73337498e-03;-6.68352832e-04;-3.50218354e-03;1.49201709e-03;-2.88451347e-03;6.46990531e-03;-6.01527189e-05;-1.05976750e-03;-4.90630327e-03;2.88380665e-03;-8.78815111e-04;1.54372950e-03;-6.87022113e-03
138	-0.0094726;0.01645651;-0.00930191;-0.02335667;-0.01305583;0.0081526;-0.03198822;-0.01005991;-0.01587251;-0.03668653;-0.0795764;0.03926568;-0.07550015;0.55745417;0.79300836;0.11176692;0.04989663;0.01999841;0.04345868;0.00525984;0.02118622;-0.00433122;0.01224048;-0.03611857;0.04752694
48	-3.25999606e-02;-2.70105080e-02;-1.58980367e-03;-1.37512763e-03;-2.43866941e-04;-8.76834760e-05;-1.23838759e-03;-5.31697550e-04;-5.26849007e-04;-1.85986319e-03;-3.12794106e-03;1.53475681e-03;-2.64446069e-03;1.57669648e-03;-6.15077547e-03;-3.25689139e-03;-1.92760592e-03;-5.45279755e-03;-3.08056742e-03;1.34606091e-03;-1.66055492e-03;-1.72213253e-03;1.10395984e-03;4.00822180e-03;-7.55344784e-03
376	-0.04620061;0.06897379;-0.04221603;-0.04463887;-0.00643005;0.0019234;-0.00870945;-0.00071256;-0.00168075;-0.00107914;-0.00300969;-0.00160002;0.00248585;0.00191111;-0.00862964;0.00042999;-0.00743859;0.00197893;-0.00919442;-0.003927;-0.01042599;0.00954787;0.00216889;0.01208338;-0.02334124
299	0.00906038;0.05799501;-0.05709634;0.04248586;-0.02601576;0.00484453;-0.0211598;-0.0149727;0.0013703;-0.0271017;-0.01457686;-0.01354201;0.00508191;0.05853664;-0.04430202;0.00969542;-0.00594627;-0.10029646;-0.11231029;-0.03244999;0.01110671;-0.00094328;0.26992623;0.30442415;-0.23523785
284	-0.05758463;0.0321877;0.01244021;-0.03185797;-0.00117584;-0.00260165;-0.00644547;-0.00520883;-0.0023816;-0.00109282;-0.00533891;0.00039773;-0.00370056;-0.00321127;-0.00515723;-0.00731873;-0.0059981;-0.00787048;-0.00622447;0.00058478;-0.00609705;0.00526334;-0.00429176;0.0071211;-0.02281792
116	1.43186667e-01;-4.67729127e-02;8.22883587e-03;-9.92214486e-03;7.57351442e-06;1.23439258e-03;-4.45245900e-04;4.06236083e-04;-3.85840668e-04;-1.80228389e-03;-2.10714275e-03;6.44044874e-04;-3.71473165e-04;8.66641161e-04;-1.51140666e-03;-1.55755338e-03;8.23219242e-04;6.14287437e-04;-3.25022509e-05;-1.08204761e-04;4.77563953e-04;-1.69150239e-03;-1.95576569e-03;1.27658898e-03;2.18404429e-04
134	-0.00638717;-0.0123258;0.03506781;-0.00547346;0.00193506;-0.00262083;-0.00423385;-0.00709931;-0.0028188;-0.00650942;-0.01128113;0.00321289;-0.00895474;-0.00133475;-0.00677715;-0.01588202;-0.00053526;-0.01695;-0.00496543;0.0041059;0.00218312;-0.00717965;-0.01174252;0.00825573;-0.01533185
